what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1784428131122
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1784428131124
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1784428131126
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1784428131126
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1784428131126
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1784428131126
os,sysinfo,,,"win32",1784428131134
arch,sysinfo,,,"x86",1784428131134
ws,sysinfo,,,"win32",1784428131134
locale,sysinfo,,,"en_US",1784428131134
processors,sysinfo,,,"4",1784428131134
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1784428131134
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1784428131134
java.specification.name,sysinfo,,,"Java Platform API Specification",1784428131134
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1784428131134
java.specification.version,sysinfo,,,"1.6",1784428131134
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1784428131134
java.version,sysinfo,,,"1.6.0_23",1784428131134
java.vm.info,sysinfo,,,"mixed mode",1784428131134
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1784428131134
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1784428131134
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1784428131134
java.vm.specification.version,sysinfo,,,"1.0",1784428131134
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1784428131134
java.vm.version,sysinfo,,,"19.0-b09",1784428131134
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1784428131156
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1784428131215
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1784428131251
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1784428131276
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1784428132345
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1784428132455
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1784428132597
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1784428132700
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1784428133080
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1784428136024
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1784428140511
